A;B;X;Y
1.8303672056727516;3.073592898826857;2.963484600104374;-16.613920193688912
4.180315116327741;4.170847157712315;2.1917707939046243;-10.434476546289131
1.107262189787288;4.886585735069605;4.8638737665119445;-24.10674010842377
3.5839370928908183;3.461854252678582;2.5325152958280874;-13.364910923255298
1.012181583884435;1.3700893821609488;2.318127697027279;-8.81924426244732
2.277581579859629;1.1046875985544773;3.2772313994835622;-13.5032281780486
3.5566604117340788;3.1876416743742415;3.1862911385594783;-16.007913575420236
0.2970548917949989;0.33545741770447;0.7435546881750887;-3.3159891596548086
1.9208981286898419;2.380919999433251;4.880890404922338;-22.07830197834329
1.7562253422297969;2.9945766645373695;4.950722541365478;-24.08370105992674
2.442501204139268;2.188150893855534;4.3226429975462315;-19.269637366133992
4.499405913622388;2.965670625440074;4.837376171396209;-21.82166232551463
2.9264490145486137;;7.25722797840224;81.64945382105269
;3.887403941460721;0.6702000898864232;15.830878463684172
;0.15258012159254375;7.583104413867817;84.86161017919879
1.660143831802725;2.3857893137194743;3.390777165340766;-17.985670525518138
0.1536570934213749;0.7541410462711562;3.4067045040961705;-20.514706666233103
4.692906217520878;3.664842260022244;1.1313266881869855;-7.462646467440087
4.612839961911638;2.066963740085785;3.1573458843218294;-12.456335861031974
4.069314073977896;3.868438313606482;0.0789840870643238;-1.828478693357603
;0.9578259619314411;0.19786850124925123;11.06696399877347
4.135061882261857;0.678023887811624;2.2088820367437174;-12.018408434376953
;1.0342950846745047;4.343337752558879;52.91257506000876
0.8911392684252306;3.131922404982788;1.2102454823852882;-7.431847388893635
1.315921992426784;3.0455866524944906;0.20030629831216507;-0.3447479689173596
1.7733077539242081;1.1269097430861712;4.144568736542192;-18.05786292582909
0.14281366264523365;2.792944738430345;3.140639546243536;-14.731407321321097
4.817116902162973;1.608460901485416;2.0913388859256026;-9.533496632459347
0.5052457407178951;4.724501502736617;4.740668057873876;-25.440473615936877
4.230663284566939;1.975830677496614;1.602875270314847;-6.341224394010542
3.252746870241434;1.672593890821064;2.9730227836657313;-17.30162648568419
1.072400048286875a;3.349148994598398;1.9959791611725812;-12.43542111148722
1.533663300384519;1.335466383944715;2.425460669360247;-13.851813527509107
